Company,Department ID
Agora Training Services,aac597be-fa2c-48e0-8077-e1330c0ae964
Agora Training Services - KREW,02e25e58-9381-4c74-a52d-90cf64f1e188
Alam Alsahara Training Company - KREW,8837a43e-7e7e-4482-96e5-6535af231d36
Alpha Drilling,193b1bdf-533d-486d-9ad2-50db89ecc48c
Alpha Drilling - KREW,6af19896-53b8-4ef6-a557-9abb0731231c
Amelco,e8b3de2f-4c86-437d-8f7a-2edf9e7b56b0
Amelco - KREW,a059644d-1b79-428a-afdf-4822f7073a35
American Well Control Academy,b9e5b57c-e8b9-42f2-b4ad-29901b630f2b
American Well Control Academy - KREW,cac3d861-a5cb-4cdd-bd3d-e0f6a70d7437
Badlands Integrity Group,b556eff2-d271-45a7-a982-cace5f388ebc
BP,451082fa-a3a0-4193-a8ca-dff7a596abb0
BP - KREW,6518cec3-7eac-423d-96d6-ca23f0b78fc2
Cactus Drilling,f904ed45-1732-4b61-be69-29e0dac5c7ee
Cactus Drilling - KREW,785a0619-ef2a-4712-b432-91d511023798
Capacitpetrolium,3b78ada3-9c69-470c-91dc-db4d11fc6c11
Capacitpetrolium - KREW ,6f060b60-09bd-48c9-b43c-16c15dac5495
Caroil Training Services,dcb3cb5b-cb84-44e9-b770-d6b0c64b848f
Chevron,f5ca8942-72a8-467f-8ae0-c966e8ff94f4
Chevron - KREW,d792621a-d1ac-4df4-a190-58822990d19a
Crewpetro - KREW,9582fdf4-e932-425e-b6f6-d14e3732c4e3
DEMO - KREW & WSL,cf4d5410-be90-4479-9b82-3452f456a23c
Dolphin HR,fa1dc7fd-05bc-4dd9-9062-47ffe48caa20
Dolphin HR - KREW ,a7d4ba72-e069-4e49-ba2c-827fdd611355
Egyptian Drilling Skills - KREW,d70b1b16-8719-4d2a-9110-2eb27b680fa9
Endeavor,82f0f74f-e956-4388-8258-ae1747dced95
Entrac Petroleum,d4c5ea0a-9486-46f4-891f-c9fdbc419d16
Entrac Petroleum - KREW ,14ac4a51-596d-4c19-817d-5ad5739b50eb
Exxon-KREW,e2caaf5d-8ea1-4f53-b6d3-bf83ce8619f1
ExxonMobil,93019562-7de0-4536-8a04-866942aac1eb
Falcon Multi Services,7b1c9375-1614-4f86-ba29-6bf054631a18
Falcon Multi Services - KREW,2a8c1a8d-ebe0-4ee4-83d1-697e490b6354
Gulf Technical and Safety Training Centre (GTSC),2d3bb6ac-4465-457a-8403-86ca92e2615b
Gulf Technical and Safety Training Centre (GTSC) - KREW ,1bcf2c24-82cb-4e8e-a6dc-6f7caee391b3
H&P,b4cbb264-a95d-498a-b21d-6fc44c2a496b
Hess,3f37aa17-fa4b-4956-a085-d621ce8331bf
IADC,389c36b7-502c-4ea3-8471-6c1422c0554a
IAS International,593348b0-07ff-4960-b90d-06a10c62c6a7
IAS International - KREW ,7caa329f-492e-4f32-8712-b2b462b926a9
IMEX International,9b43399b-aa58-46e7-85be-43c1095acf78
IMEX International - KREW ,21254c4c-3406-4a7f-80b6-a1c9a0490644
In-Depth Drilling Solutions,b0566389-01bd-4c4b-b346-0df81eefdebc
In-Depth Drilling Solutions - KREW ,db87f631-9812-490b-987b-0d9fc7a20c5f
Institute of Drilling Technology Well Control ONGC - KREW,c8eabf99-8e9e-4f2c-a1e2-7a73c9e21030
Instituto Tecnico del Petroleo (ITP),0f50ec2a-764a-4df4-9fcd-3f5e5eed8afc
Instituto Tecnico del Petroleo (ITP) - KREW ,405dc79f-d86c-41d5-a403-e06deb7e3d01
International Institute Of Further Education (IIFE),d531c66b-e9f6-480f-9e36-0798d2975005
International Institute Of Further Education (IIFE) - KREW ,b758c92d-bd67-4468-834c-d25a12cf0e04
International Oilfield Training Services (IOTS),94326b21-68ff-4395-b346-74099ba7b6b4
International Oilfield Training Services (IOTS) - KREW ,a12be4da-3b60-4782-91b9-2ca0251b8800
International Petroleum Center,2aec8502-2f8e-4c3a-9235-bd8bfcb7cde9
International Petroleum Center - KREW ,4baa4004-ac16-4b1e-a3c0-1064404a8221
International Training Services (ITS),67f785c8-356d-41d1-a2a6-ec0d88eb2f3d
International Training Services (ITS) - KREW ,31ef08fc-2b88-4ce4-8d33-256a33e4fcf2
JF Gestión Integral,9981a190-a27c-4259-bbdc-4daf7f09e9b0
JF Gestión Integral - KREW ,4b314c9f-d045-4ff0-846e-cf0ec00a7e23
"Landmark Safety, LLC",357f9e26-555f-4b97-9d76-c21ec738ccf2
Latshaw,326c8aa9-79ff-4aff-8fbf-747d54143b0b
Latshaw - KREW ,c6fad322-6cee-4ccc-8a2a-e6346f747091
Learn To Drill,25e08678-e269-45f3-969a-e4e200822894
Maersk,4a01beba-76b5-421d-a596-3ee60cdb917c
Maersk - KREW ,3e3794d2-741e-4507-b0ed-3d707a8631d5
Malaga Drilling School,76babd41-a81c-4a0e-8a23-dff9f7f36f9d
Malaga Drilling School - KREW ,c4bd3d7d-8535-469b-86e9-6cbc5640325c
Moxie Media,f1885552-cc56-44bc-bdbc-65b3285f1695
Murchison Drilling Schools,5c5ec5dc-0e1c-4aae-a545-b8db9ffed4a3
Murchison Drilling Schools - KREW,8f7367a1-c40c-4f19-ba8a-b3fdfc9ea136
Naaqwa,e1450f9b-0a10-4e0f-9102-13e62a897875
Naaqwa - KREW ,db273b75-d23b-40b6-b7de-0d0c346873ac
Nabors,9bdb1011-de31-415f-92f9-2776e8613f1a
Nabors - KREW,0a48f4aa-3727-42e7-b3b6-d6caad03b4e3
Neft Energies,50723c62-331c-491a-ab3f-8e8b1a48687f
Neft Energies - KREW ,37a1ee4c-2200-4076-9add-2b161a66e5df
Noble Corp.,3149282a-a1c6-4c75-a9b0-1efd38f2311b
Noble Drilling,1ca6f0ae-3af1-4440-ad07-0efbbf5a1736
Noble Drilling - KREW,13ec6c92-e5e0-47e0-8179-8c65b9b4d955
Occidental Petroleum ,a73e6e03-bf68-438a-a5db-9db78bf52dc2
Occidental Petroleum - KREW ,cf58a0cf-287b-43c3-98f0-e42e3441ca7c
Omega Evaluation Center,15e83570-07db-44fa-965c-d1b625952131
Pan American Energy,378426c6-0c29-4780-a8b4-d62938806d4e
Pan American Energy - KREW ,79c17735-f779-4d77-966f-fb28eb9acec1
Parker Drilling,5607173c-7cd4-43fa-85eb-46a6f6a8ec27
Parker Drilling - KREW ,69996dc6-0c1e-4df3-b3e1-16a7b8fdd6dc
Patterson UTI Drilling Co. LLC,7187f958-d020-4b25-8119-6dbf03653805
Petro Energy - KREW,7db4d099-57e2-48b5-a7d7-db3fea57a0fa
Petroleum Training Services (PTS) - KREW,18768b36-88a6-4100-a1a8-0001f5efeaf8
Precision Drilling,722a2ca2-e349-499f-9963-bfdbd117168d
Q-Training,1ade8d55-27a6-4d05-8875-b4fac6af7584
Q-Training - KREW ,3a2be779-1251-4341-a9de-32ad93cb0d76
Quintana,aecbf44a-fa16-4ab1-a9c8-4dd337a53b30
Quintana - KREW ,dc82ba25-9c04-42a3-a59d-6f29b20c4a95
Rainbow Star Training Services - KREW,fb423dce-bb07-4bd4-aa6d-bb1f24b1de49
RelyOn NuTec,33e05945-61ac-4177-b69d-5affdf11667e
RelyOn NuTec - KREW ,e4c5d85d-b2a1-4e78-ab27-df697ab77d49
Rig Up,70332e41-19b7-47c6-83a7-847e90362ebe
Rig Up - KREW ,3c7ac904-861a-4d07-b356-cf9acb4dd6ab
Rig World,2f956335-aa3b-41b6-b544-140801b2a1a1
Rig World - KREW,a51cd539-0b8d-4b42-9ac8-248b08e7958c
RigLine 24/7 Training Services,18d649a9-c310-42f4-980e-d5644a62303f
RigLine 24/7 Training Services - KREW ,f846431c-fba8-415b-a12b-c7e52c9323ad
Safety 24/7,8a8a5a67-1843-4857-8174-58f38ad2dabe
Safety 24/7 - KREW ,71addd55-debc-4957-a11f-f5851b10e911
SAIPEM,99b614c2-96a4-4cc2-bea3-47f31719ccbd
SAIPEM - KREW ,18a4a463-4f6e-4887-a6cc-d3978868cc8e
San Juan College,653b92d3-84c6-4932-9815-06050df5f6be
San Juan College - KREW ,6b44e392-f7f8-4737-9cbe-dd2472f694e4
SAS Alkhobar Training Center - KREW,b68f6c04-806e-4b2c-a7d8-46e2c8b6d772
Screenshots,9261acfd-39f4-4a02-a88d-2c7fe81d44c8
Seed Business Group - KREW,3b235d33-9e69-4b40-a44d-a3bc4e82230c
Shelf Drilling,a5601c2b-ef9d-4cf2-9247-ae35152dd25e
Shelf Drilling - KREW ,01ef7ecc-7697-4d86-bb06-995eb4d65a2b
Sinopec Training Center,c658edda-8395-4979-9b0a-250058910d68
Sinopec Training Center - KREW ,8ab39545-3a4c-46ab-9dd1-784582da9408
Smith Mason & Co.,a543eec7-c560-4b5f-934e-e4c68b704bdd
Smith Mason & Co. - KREW ,b896f755-994e-4858-9e15-d2d3b07584da
Tamkene,0c42765f-ea40-4589-92a9-aba70a3c3765
Tamkene - KREW ,167e52c8-b3ad-4e5c-9564-cf01c7057e41
TEST,582030f9-ac88-4709-8d2a-c3ae8afe5a5b
Texas A&M University (TAMU),dc3b7a1c-64fd-4444-b7cd-5d0317cf5701
Training Consultors,88c5cdac-c49e-40c2-8add-5532d5796cc3
Training Consultors - KREW ,ede2a30c-ab6d-45ff-bc30-a99bc9feb5c0
University of Alaska,7598c3d0-cd04-4538-87eb-d96f597a0218
University of Alaska - KREW ,0588edf9-d7b5-43a7-b9b4-ed7e5459cd23
Valaris,60e8e4fb-089a-4744-91ed-3057f4eeb51b
